,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
42322,,,,,0.7717,85.0,0.6542,88,,,,
42323,,,,,-0.34,85.0,0.8431,88,,,,
42324,,,,,0.0258,85.0,0.3182,88,,,,
42325,,,,,0.4588,85.0,0.8271,87,,,,
42326,,,,,0.5267,85.0,-0.1877,87,,,,
42327,,,,,0.5927,85.0,0.5106,87,,,,
42328,,,,,0.8126,85.0,0.8934,87,,,,
42329,,,,,0.6908,85.0,-0.7003,83,,,,
42330,,,,,0.5945,86.0,0.0,83,,,,
42331,,,,,0.872,86.0,0.0,83,,,,
42332,,,,,-0.4215,86.0,0.4767,83,,,,
42333,,,,,0.5859,86.0,0.0,83,,,,
42334,,,,,0.6187,86.0,0.2023,83,,,,
42335,,,,,0.8779,86.0,0.5106,82,,,,
42336,,,,,0.8338,86.0,0.4767,82,,,,
42337,,,,,0.9109,86.0,0.0,82,,,,
42338,,,,,0.6705,86.0,0.2584,82,,,,
42339,,,,,0.0516,86.0,0.0,82,,,,
42340,,,,,0.7845,86.0,0.0,82,,,,
42341,,,,,0.8074,86.0,-0.3182,82,,,,
42342,,,,,-0.25,86.0,0.0,82,,,,
42343,,,,,0.3089,91.0,0.0258,82,,,,
42344,,,,,0.9127,91.0,0.0,81,,,,
42345,,,,,0.7343,91.0,0.4939,83,,,,
42346,,,,,0.886,91.0,0.0,83,,,,
42347,,,,,0.3182,91.0,0.4019,83,,,,
42348,,,,,0.9559,91.0,0.8316,83,,,,
42349,,,,,0.6908,91.0,0.2263,83,,,,
42350,,,,,0.8765,91.0,0.0,83,,,,
42351,,,,,0.5574,86.0,0.4939,83,,,,
42352,,,,,0.0,86.0,0.4939,83,,,,
42353,,,,,0.4404,86.0,0.0,83,,,,
42354,,,,,0.0516,86.0,0.0,83,,,,
42355,,,,,0.4939,86.0,0.0,82,,,,
42356,,,,,0.9201,86.0,-0.4019,82,,,,
42357,,,,,0.3919,86.0,0.0,82,,,,
42358,,,,,0.4939,86.0,0.0,88,,,,
42359,,,,,0.0,86.0,0.4497,88,,,,
42360,,,,,0.4019,86.0,-0.4019,88,,,,
42361,,,,,0.7411,86.0,0.7579,88,,,,
42362,,,,,0.7184,86.0,0.6124,88,,,,
42363,,,,,0.4404,86.0,0.34,88,,,,
42364,,,,,0.4201,86.0,0.3182,88,,,,
42365,,,,,0.0516,86.0,0.7951,88,,,,
42366,,,,,0.0,86.0,0.6218,88,,,,
42367,,,,,0.8519,85.0,0.0,88,,,,
42368,,,,,0.8074,85.0,-0.128,88,,,,
42369,,,,,-0.5116,85.0,0.4019,88,,,,
42370,,,,,0.6369,85.0,0.8221,88,,,,
42371,,,,,0.9201,85.0,0.0,88,,,,
42372,,,,,0.875,85.0,0.8979,88,,,,
42373,,,,,-0.34,85.0,0.3284,88,,,,
42374,,,,,-0.0516,88.0,0.9297,90,,,,
42375,,,,,0.1779,88.0,0.8979,90,,,,
42376,,,,,0.34,88.0,0.8555,90,,,,
42377,,,,,0.6908,88.0,0.9566,90,,,,
42378,,,,,0.3182,88.0,0.5859,90,,,,
42379,,,,,0.4939,88.0,0.891,90,,,,
42380,,,,,0.5267,88.0,0.7089,90,,,,
42381,,,,,0.802,88.0,0.6486,90,,,,
42382,,,,,0.0,88.0,0.8621,90,,,,
42383,,,,,0.8316,88.0,-0.101,86,,,,
42384,,,,,0.775,88.0,0.6705,86,,,,
42385,,,,,0.6124,87.0,0.5719,86,,,,
42386,,,,,0.9601,93.0,0.7003,86,,,,
42387,,,,,0.5502,92.0,0.4939,86,,,,
42388,,,,,0.6498,92.0,0.34,86,,,,
42389,,,,,0.9136,92.0,0.3182,86,,,,
42390,,,,,0.9752,92.0,0.6705,86,,,,
42391,,,,,0.9546,92.0,0.5719,86,,,,
42392,,,,,0.8687,92.0,0.765,86,,,,
42393,,,,,0.0,92.0,0.0,86,,,,
42394,,,,,0.8957,92.0,0.0,86,,,,
42395,,,,,0.2023,90.0,0.0,86,,,,
42396,,,,,0.296,90.0,0.4019,96,,,,
42397,,,,,0.8977,89.0,0.9636,96,,,,
42398,,,,,0.9081,89.0,0.1779,96,,,,
42399,,,,,0.5106,89.0,0.9074,96,,,,
42400,,,,,0.9127,94.0,0.9099,95,,,,
42401,,,,,0.4939,94.0,0.9465,95,,,,
42402,,,,,0.5719,94.0,0.7065,95,,,,
42403,,,,,0.765,94.0,0.8555,95,,,,
42404,,,,,0.4215,94.0,0.0644,95,,,,
42405,,,,,0.8151,94.0,0.9726,95,,,,
42406,,,,,0.2732,94.0,0.7269,95,,,,
42407,,,,,-0.1531,94.0,0.9136,94,,,,
42408,,,,,0.659,93.0,0.128,94,,,,
42409,,,,,0.8922,93.0,0.9839,94,,,,
42410,,,,,0.7227,93.0,0.679,94,,,,
42411,,,,,0.6808,93.0,0.8555,93,,,,
42412,,,,,0.7964,87.0,0.9379,92,,,,
42413,,,,,0.8555,87.0,0.9638,92,,,,
42414,,,,,0.4404,87.0,0.6808,92,,,,
42415,,,,,0.8582,87.0,0.7717,92,,,,
42416,,,,,0.2023,87.0,0.893,92,,,,
42417,,,,,-0.1027,87.0,0.7033,92,,,,
42418,,,,,-0.1406,87.0,0.7096,92,,,,
42419,,,,,0.9144,87.0,0.5994,92,,,,
42420,,,,,0.6249,87.0,0.906,92,,,,
42421,,,,,0.836,87.0,0.1531,92,,,,
42422,,,,,0.0,87.0,0.8555,92,,,,
42423,,,,,0.8957,87.0,0.3182,92,,,,
42424,,,,,0.0,87.0,0.802,92,,,,
42425,,,,,0.0516,87.0,0.9393,92,,,,
42426,,,,,-0.2732,87.0,0.796,92,,,,
42427,,,,,0.7248,87.0,0.8519,92,,,,
42428,,,,,0.5106,87.0,0.4588,92,,,,
42429,,,,,0.6896,87.0,0.8957,92,,,,
42430,,,,,0.836,87.0,0.7096,92,,,,
42431,,,,,0.4215,87.0,0.9099,92,,,,
42432,,,,,0.7351,87.0,0.7003,89,,,,
42433,,,,,0.7269,87.0,0.296,89,,,,
