,polarity,points-category
1033,0.9231,85-89
1034,0.4404,85-89
1035,0.0,85-89
1036,0.8271,85-89
1037,0.0,85-89
1038,0.0294,85-89
1039,0.4588,85-89
1040,0.6908,85-89
1041,0.4404,85-89
1042,0.6486,85-89
1043,0.5984,85-89
1044,0.7506,85-89
1045,0.7125,85-89
1046,0.0,85-89
1047,0.5574,85-89
1048,0.4404,85-89
1049,0.1027,85-89
1050,0.2023,85-89
1051,0.4588,85-89
1052,-0.4215,85-89
1053,0.8268,85-89
1054,0.7096,85-89
1055,0.4939,85-89
1056,0.34,85-89
1057,-0.4019,85-89
1058,0.8979,85-89
1059,0.5106,85-89
1060,0.5574,85-89
1061,0.7783,85-89
1062,0.8858,85-89
1063,0.9231,85-89
1064,-0.0516,85-89
1065,0.6486,85-89
1066,0.34,85-89
1067,0.6486,85-89
1068,0.0,85-89
1069,0.5859,85-89
1070,0.0,85-89
1071,0.5574,85-89
1072,0.743,85-89
1073,0.9274,85-89
1074,0.6178,85-89
1075,0.5574,85-89
1076,0.7574,85-89
1077,0.0,85-89
1078,0.0,85-89
1079,0.5719,85-89
1080,0.3818,85-89
1081,0.1779,85-89
1082,0.6486,85-89
1083,0.7906,85-89
1084,0.5574,85-89
1085,0.4588,85-89
1086,0.0,85-89
1087,0.5574,85-89
1088,0.8625,85-89
1089,0.0772,85-89
1090,0.8934,85-89
1091,0.7506,85-89
1092,0.9593,85-89
1093,0.9231,85-89
1094,0.8909999999999999,85-89
1095,0.4588,85-89
1096,0.0,85-89
1097,0.2475,85-89
1098,0.3869,85-89
1099,0.2617,85-89
1100,-0.5267,85-89
1101,0.4939,85-89
1102,0.0,85-89
1103,0.5106,85-89
1104,0.29600000000000004,85-89
1105,0.0258,85-89
1106,0.8591,85-89
1107,0.7227,85-89
1108,0.7845,85-89
1109,-0.438,85-89
1110,0.2263,85-89
1111,0.9562,85-89
1112,0.0,85-89
1113,0.4404,85-89
1114,0.9161,85-89
1115,-0.0516,85-89
1116,0.5499,85-89
1117,0.802,85-89
1118,0.5267,85-89
1119,0.0,85-89
1120,0.9211,85-89
1121,0.4019,85-89
1122,0.5106,85-89
1123,0.6124,85-89
1124,0.4404,85-89
1125,-0.3182,85-89
1126,0.2732,85-89
1127,0.7935,85-89
1128,0.4588,85-89
1129,0.0,85-89
1130,0.0,85-89
1131,0.8074,85-89
1132,0.802,85-89
1133,0.2023,85-89
1134,0.0,85-89
1135,0.34,85-89
1136,0.7906,85-89
1137,0.8807,85-89
1138,0.4767,85-89
1139,0.4404,85-89
1140,0.3182,85-89
1141,0.7579,85-89
1142,0.3182,85-89
1143,0.3818,85-89
1144,0.0,85-89
1145,0.7026,85-89
1146,0.4404,85-89
1147,0.92,85-89
1148,0.9186,85-89
1149,0.9062,85-89
1150,0.0155,85-89
1151,0.8977,85-89
1152,0.4404,85-89
1153,0.6486,85-89
1154,-0.1901,85-89
1155,-0.128,85-89
1156,0.0,85-89
1157,0.8689,85-89
1158,0.0,85-89
1159,0.8555,85-89
1160,0.6249,85-89
1161,0.9697,85-89
1162,0.5563,85-89
1163,-0.3818,85-89
1164,0.0,85-89
1165,0.4404,85-89
1166,0.4404,85-89
1167,0.6808,85-89
1168,0.6249,85-89
1169,0.4215,85-89
1170,0.5106,85-89
1171,0.7096,85-89
1172,0.765,85-89
1173,0.5106,85-89
1174,-0.128,85-89
1175,0.8485,85-89
1176,0.7096,85-89
1177,0.7595,85-89
1178,0.7933,85-89
1179,-0.3291,85-89
1180,-0.3078,85-89
1181,0.0,85-89
1182,0.3862,85-89
1183,0.5574,85-89
1184,0.7446,85-89
1185,0.6478,85-89
1186,0.765,85-89
1187,0.3724,85-89
1188,0.9118,85-89
1189,0.0,85-89
1190,0.0,85-89
1191,0.1531,85-89
1192,0.0,85-89
1193,0.4215,85-89
1194,0.8176,85-89
1195,0.5346,85-89
1196,-0.2748,85-89
1197,0.0772,85-89
1198,0.6124,85-89
1199,0.0,85-89
1200,0.5719,85-89
1201,0.7845,85-89
1202,0.7717,85-89
1203,0.0,85-89
1204,0.29600000000000004,85-89
1205,0.7579,85-89
1206,0.6369,85-89
1207,0.4588,85-89
1208,0.0,85-89
1209,0.7351,85-89
1210,0.7717,85-89
1211,-0.1154,85-89
1212,-0.4019,85-89
1213,0.101,85-89
1214,0.4939,85-89
1215,0.0,85-89
1216,0.8074,85-89
1217,0.3182,85-89
1218,0.0,85-89
1219,0.3612,85-89
1220,0.2382,85-89
1221,0.4404,85-89
1222,0.765,85-89
1223,0.0,85-89
1224,0.4588,85-89
1225,0.8151,85-89
1226,0.0,85-89
1227,0.29600000000000004,85-89
1228,0.34,85-89
1229,0.802,85-89
1230,-0.4215,85-89
1231,-0.2732,85-89
1232,0.0,85-89
1233,0.2732,85-89
1234,0.743,85-89
1235,0.8068,85-89
1236,0.0,85-89
1237,0.8126,85-89
1238,0.8779,85-89
1239,0.7579,85-89
1240,0.4767,85-89
1241,-0.2617,85-89
1242,0.5859,85-89
1243,0.8979,85-89
1244,0.802,85-89
1245,0.0,85-89
1246,0.0,85-89
1247,0.0,85-89
1248,0.2732,85-89
1249,0.0,85-89
1250,0.8555,85-89
1251,0.0,85-89
